Threshold,RR(%),VR(%),Causal_VR(%),Action_VR(%),Pathway_Reliable_RR(%),Borrower_Reliable_RR(%),Avg_Features_Changed
±10%,6.94,0.0,27.01,0.0,72.99,6.5,2.0
±15%,9.31,0.0,37.44,0.0,62.56,8.25,2.06
±20%,10.71,0.0,42.71,0.0,57.29,8.87,2.02
±25%,12.29,0.0,41.03,0.0,58.97,10.62,1.98
±30%,14.22,0.0,52.22,0.0,47.78,10.8,1.97
