Parameter,Value
n_estimators,265.0
max_depth,5.0
learning_rate,0.013736
subsample,0.784997
colsample_bytree,0.622651
reg_alpha,0.345899
reg_lambda,0.00388
min_child_weight,10.0
gamma,0.000168
