Scenario,RR(%)_mean,RR(%)_CI95,VR(%)_mean,VR(%)_CI95,Causal_VR(%)_mean,Causal_VR(%)_CI95,Action_VR(%)_mean,Action_VR(%)_CI95,Pathway_Reliable_RR(%)_mean,Pathway_Reliable_RR(%)_CI95,Borrower_Reliable_RR(%)_mean,Borrower_Reliable_RR(%)_CI95,Avg_Features_Changed_mean,Avg_Features_Changed_CI95
Scenario_A,100.0,"[100.00, 100.00]",24.89,"[22.18, 27.60]",0.31,"[-0.27, 0.88]",33.54,"[30.26, 36.82]",49.74,"[47.62, 51.85]",93.26,"[85.52, 101.00]",1.84,"[1.78, 1.89]"
Scenario_B,100.0,"[100.00, 100.00]",0.0,"[0.00, 0.00]",0.72,"[0.16, 1.27]",41.11,"[37.74, 44.48]",58.46,"[55.07, 61.86]",96.22,"[92.74, 99.70]",1.79,"[1.72, 1.86]"
Scenario_C,74.1,"[57.48, 90.72]",0.0,"[0.00, 0.00]",16.6,"[10.27, 22.93]",0.0,"[0.00, 0.00]",83.4,"[77.07, 89.73]",71.94,"[53.98, 89.90]",2.08,"[1.95, 2.22]"
