Threshold,RR(%),VR(%),Causal_VR(%),Action_VR(%),Pathway_Reliable_RR(%),Borrower_Reliable_RR(%),Avg_Features_Changed
±10%,86.44,0.0,10.42,0.0,89.58,86.44,2.02
±15%,88.14,0.0,8.29,0.0,91.71,88.14,2.05
±20%,88.14,0.0,8.21,0.0,91.79,88.14,2.0
±25%,89.83,0.0,5.66,0.0,94.34,89.83,2.02
±30%,89.83,0.0,8.02,0.0,91.98,89.83,2.02
